country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,tier
Finland,Western Europe,7.748,1.58,0.878,69.0,0.72,0.152,0.834,"Very High
(>7)"
Denmark,Western Europe,7.937,1.464,0.865,61.0,0.689,0.209,0.206,"Very High
(>7)"
Iceland,Western Europe,6.193,1.431,0.678,64.2,0.632,0.011,0.814,"High
(6-7)"
Netherlands,Western Europe,7.242,1.652,0.629,60.7,0.764,0.042,0.618,"Very High
(>7)"
Norway,Western Europe,6.98,1.526,0.728,70.3,0.748,0.053,0.698,"High
(6-7)"
Sweden,Western Europe,6.545,1.701,0.565,57.6,0.776,0.269,0.581,"High
(6-7)"
Switzerland,Western Europe,7.319,1.523,0.623,60.0,0.69,0.307,0.612,"Very High
(>7)"
Luxembourg,Western Europe,6.166,1.741,0.754,60.2,0.83,0.304,0.718,"High
(6-7)"
Austria,Western Europe,6.813,1.52,0.84,66.8,0.688,0.158,0.351,"High
(6-7)"
Germany,Western Europe,6.563,1.912,0.963,62.6,0.88,0.223,0.434,"High
(6-7)"
Canada,North America,6.753,1.968,0.796,61.5,0.409,0.279,0.566,"High
(6-7)"
United States,North America,6.291,1.462,0.561,54.4,0.796,0.357,0.457,"High
(6-7)"
Mexico,North America,5.934,1.254,0.91,56.6,0.681,0.242,0.567,"Medium
(5-6)"
Costa Rica,North America,7.178,1.184,0.761,53.7,0.56,0.216,0.597,"Very High
(>7)"
Guatemala,North America,6.504,1.348,0.63,53.6,0.705,0.084,0.521,"High
(6-7)"
Honduras,North America,6.783,2.0,0.821,56.3,0.74,0.0,0.545,"High
(6-7)"
Panama,North America,6.542,2.0,0.777,56.5,0.745,0.04,0.756,"High
(6-7)"
Jamaica,North America,7.026,1.707,0.691,60.9,0.568,0.25,0.944,"Very High
(>7)"
Dominican Rep.,North America,5.807,1.232,0.812,53.2,0.548,0.188,0.359,"Medium
(5-6)"
Belize,North America,6.832,1.108,0.986,52.1,0.708,0.278,0.328,"High
(6-7)"
Uruguay,Latin America,6.159,1.777,0.607,51.7,0.784,0.274,0.327,"High
(6-7)"
Chile,Latin America,5.076,1.503,0.836,52.0,0.795,0.098,0.592,"Medium
(5-6)"
Brazil,Latin America,6.205,1.07,0.99,52.9,0.595,0.259,0.375,"High
(6-7)"
Argentina,Latin America,6.551,1.726,0.702,54.9,0.804,0.279,0.891,"High
(6-7)"
Colombia,Latin America,5.828,1.056,0.693,47.7,0.74,0.221,0.6,"Medium
(5-6)"
Ecuador,Latin America,6.579,1.325,0.974,49.9,0.98,0.255,0.396,"High
(6-7)"
Bolivia,Latin America,5.25,1.489,0.773,53.9,0.812,0.171,0.398,"Medium
(5-6)"
Peru,Latin America,4.94,1.164,0.903,51.9,0.588,0.201,0.619,"Low
(4-5)"
Venezuela,Latin America,5.381,1.374,0.807,46.4,0.797,0.247,0.745,"Medium
(5-6)"
Paraguay,Latin America,6.738,0.838,0.687,53.1,0.817,0.242,0.95,"High
(6-7)"
UAE,Middle East,6.2,1.673,0.914,51.9,0.709,0.271,0.411,"High
(6-7)"
Qatar,Middle East,5.634,1.106,0.81,58.6,0.507,0.262,0.26,"Medium
(5-6)"
Saudi Arabia,Middle East,5.47,1.657,0.808,45.0,0.657,0.262,0.419,"Medium
(5-6)"
Kuwait,Middle East,5.952,1.292,0.722,57.9,0.832,0.0,0.584,"Medium
(5-6)"
Bahrain,Middle East,5.337,1.574,0.705,48.8,0.816,0.284,0.334,"Medium
(5-6)"
Israel,Middle East,5.566,1.11,0.722,56.4,0.803,0.029,0.715,"Medium
(5-6)"
Jordan,Middle East,7.286,1.637,0.618,47.4,0.915,0.095,0.63,"Very High
(>7)"
Lebanon,Middle East,6.342,0.952,0.793,40.0,0.617,0.15,0.325,"High
(6-7)"
Turkey,Middle East,6.943,0.775,0.747,49.8,0.937,0.008,0.759,"High
(6-7)"
Iran,Middle East,5.807,0.932,0.855,50.1,0.672,0.188,0.481,"Medium
(5-6)"
Taiwan,East Asia,6.279,1.596,0.99,47.7,0.98,0.0,0.523,"High
(6-7)"
Japan,East Asia,6.612,1.462,0.725,51.9,0.686,0.109,0.703,"High
(6-7)"
South Korea,East Asia,6.45,1.121,0.908,53.9,0.856,0.256,0.401,"High
(6-7)"
China,East Asia,5.808,1.626,0.873,52.6,0.765,0.333,0.444,"Medium
(5-6)"
